Invoice No.,Category,Item Name,Final Total,Qty.,Time of day
21536,Food Menu,Calzone Mix 3 Pc (Calzone Paneer),65.71,1,Evening
21535,Cold Coffee,Classic Frappe (350 ML),285.01,1,Evening
21535,Cold Coffee,Classic Frappe (450 ML),335.01,1,Evening
21534,Cold Coffee,Classic Frappe (350 ML),301.19,1,Evening
21533,Cold Coffee,Origanal South Indian Frappe (350 ML),334.05,1,Evening
21533,Hot Coffee,Cafe Latte (250 ML),246.44,1,Evening
21532,Sweet,Pappa Roti (Add On Nutella sauce),244.99,1,Evening
21531,Hot Coffee,Cafe Mocha (250 ML),257.39,1,Evening
21531,Cold Coffee,Madagascar Chocochip Frappe (350 ML),366.92,1,Evening
21531,Food Menu,Berliners (Nutella Berliner),76.68,1,Evening
21530,Hot Chocolate,Hot Chocolate (250 ML),591.43,2,Evening
21529,Cold Coffee,Bon Bon (350 ML),334.05,1,Evening
21529,Hot Chocolate,Madagascar Hot Chocolate (250 ML),328.56,1,Evening
21528,Hot Coffee,South Indian Filter Kaapi (150 ML),306.68,2,Evening
21528,Hot Coffee,South Indian Filter Kaapi (150 ML),153.32,1,Evening
21527,Hot Coffee,Cappucino (250 ML),246.44,1,Evening
21527,Food Menu,Chicken Calzone,76.68,1,Evening
21527,Cold Coffee,Origanal South Indian Frappe (350 ML),334.05,1,Evening
21526,Cold Coffee,Origanal South Indian Frappe (450 ML),752.5,2,Evening
21525,Cold Coffee,Vietnamese (350 ML),334.05,1,Evening
21525,Sweet,Papparoti (Plain),191.68,1,Evening
21525,Hot Coffee,South Indian Filter Kaapi (150 ML),153.32,1,Evening
21524,Sweet,Papparoti (Plain),191.68,1,Evening
21523,Cold Coffee,Nariyal Irish Cream Frappe (350 Ml),729.5,2,Evening
21522,Hot Coffee,Sea Salt Dark Mocha (250 ML),301.19,1,Evening
21522,Cold Coffee,Sea Salt Dark Mocha Frappe (450 ML),427.15,1,Evening
21521,Hot Coffee,Kaapicino (250 ML),235.48,1,Evening
