lemma_str
nice place enjoy cup coffee signature filter coffee bake pav bhaji worth try sabeena great host u certainly beautiful smile
wonderful experience amaze berliner staff sweet big shout sabina priti best
really good portion tasty khushi serve u good job kind attentive
place must visit amazing staff delicious coffee great ambiencesabina aftab dhruv make coffee serve u positive vibe extremely kind
really great time amazing coffee sabina aftab dhruv
loved place subtle vibe provide come completely confused coffee try assist khushi work try signature hot coffee totally worth price
coffee service fantastic berliner suggest friendly helpful server sabina definitely return
lovely lil cafe juhu warm hospitality good coffee
love experiencethe staff extremely sweet serve sabina look forward many visit
deliver wrong order
asif sheikh good service humble man
asif helpful
great warm service amaze coffee
coffee excellent service excellent young lady man counter extremely pleasant heard kid mention hungry give complimentary banana wafer thats next level customer care
iced latte filter coffee savoury fresh tastydefinitely shall visit recomendations sabeena order courtesy staff helpful
suppose vietnamese coffee taste like one taste like normal cold coffee vanilla icecream instead condense milk
cold stale … also small size… give refund
delicious food
signature cold coffee different delicious sabina absolutely nice staffer ive come across got requirement sugar less sugar point
order mocha specification taste completely like black coffee without milk sugar
savour kappucino ettarra american twist traditional filter coffee alongside curated playlist song ettarra spotify shout barista deepak explain u story come idea kappucino alongside journey tata strive
asif sheik great coffee perfect
sameena ttarra delight kindness great service make visit special well definitely back coffee friendly hospitality
sabina extremely sweet courteous
great food coffee service sabina help u choose beverage provide great input also accommodate since toddler u provide special assistance ensure comfortable
recommend try ettarra recently must say really cool little cafe great variety coffee find personal favourite hazelnut frappe snack also flavourful serve sabina keen interest ensure best cafe experience look forward visit many time
attend sabina really really sweet🥰she give u spicy salt banana chip coffee complimentary also give u taster drink case want make modification love curated playlist coaster scan barcode listen soothing music really go vibe cozy cafegreat service good really good coffeei south indian frappe yum
vietnamese coffee make sabina fantastic great selection coffee short eats definitely come back
amazing place great ambiance lovely staff best coffee ever
amaze vibe
amaze hospitality service sabina asif kundan preeti sakshi ask barista recommendation serve delicious already 4 time look forward
fantastic menufantastic service via sabina even well coffee asif 1010 would recommend
fresh food
wonder amaze placethe staff also amazingallahbakshasifaltafsabinapreetikundan arunthey never make u feel like customer themthey always take care u like familywe feel really great spend time hereits almost 9months come every alt day
recently visit cozy cafe juhu tonmy surprise best experience sabina kundan priti thank son much recommendation warm hospitality husband enjoy hot cold filter coffee form shall definitely would recommend place
coffee great wait staff really sweet helpful especially sabina service awesome
great service sabina
dint send complimentary banana chip
amaze experience thanks sabina polite respectful really helpful go regular
visited place see many good review coffee good range bakery item interest absolutely proper provision sit 2 indoor table literally reception area hotel hotel resident keep come go key check etc outdoor seat footpath hotel extend shade ’ make look like outdoor area passer walk next table
place part juhu residency boutique hotel seat inside outside cute sweet coffee place hot chocolate good ’ bit expensive compare service overall good experience
thank sabina amazing recommendation love south indian filter coffee frappe nariyal irish cream frappe recommend service amaze fry banana chip water bottle complimentary along every order make feel right homehope malnad tonic back stock soon till regular customer
receive cappuccino without sugar
brilliant food brilliant cookies awesome madagascar choco coffee big ups sabina wholesome vibrant serving
ettarra pure love ’ comfort warmth wrap cup coffee sabina blend love amaze smile every cup serve make ettarra feel like home cafe
